,degree,betweenness,eigenvector
John F. Kerry,291,0.0013268520959074284,0.013956129769008573
Laurent Fabius,85,9.626535470310364e-05,0.004089866705743195
Francois Hollande,220,0.00227200992176967,0.010604585868317818
Kerry,517,0.004638286165062889,0.023663300378197603
Obama,4640,0.17198251617183505,0.12890839844691354
Benjamin Netanyahu,561,0.004951577770983044,0.030326311085725297
Jane Hartley,76,0.00010055788537119252,0.006541308026066337
Victoria Nuland,49,5.444535783990582e-05,0.00403008311107875
Eric H. Holder Jr.,22,2.284308490021687e-06,0.0012466042081245112
Narendra Modi,71,0.0007170252757519597,0.0047741232214639434
Donald Trump,4710,0.08653938313500951,0.14991264049161543
Hillary Clinton,4943,0.08563151909721294,0.15633634901440532
Ted Cruz,3208,0.03516483488312504,0.12762201382546118
Bernie Sanders,2949,0.025806347530307378,0.1222916873725086
D-Vt.,98,3.6874064140716284e-05,0.013410832026189519
John Kasich,1547,0.006061696570309749,0.08302238519888809
Clinton,4711,0.07927756248438121,0.1530989988763459
Trump,3799,0.04956606059574627,0.13543667094462686
Cruz,2209,0.013730494776912487,0.09790464840554083
Hillary,2532,0.014966318585569478,0.11567155020726556
Kasich,969,0.002547365865537904,0.05631335016018466
Dubbed,2,0.0,2.447397919659268e-06
Nicholas Winton,2,0.0,2.447397919659268e-06
Queen Elizabeth II,9,0.00034228573820272573,0.0006931965989966723
Moammar Gadhafi,118,0.0002657700414385058,0.010603502411728092
Matt Lauer,139,0.000395596913485575,0.01196463165668179
Howard Stern,78,2.5941279456420245e-05,0.008848621084366896
Neil Cavuto,119,3.134746104757783e-05,0.01404037120171229
Cavuto,94,1.1317205166237381e-05,0.011430334825841394
Chris Matthews,226,0.00023121634047342616,0.023937046869847163
Joe Scarborough,144,3.0076502509150442e-05,0.015632358042117878
George W. Bush,2345,0.023623450806324803,0.10129590056241891
Bush,2647,0.027071085149303408,0.10361461591507645
Condoleezza Rice,338,0.00040356576970478487,0.029418730122190147
Nouri al-Maliki,96,0.00012229957190201284,0.008392760628360493
Leon Panetta,133,6.562173568271967e-05,0.011493425207954122
Maliki,60,3.284973516019443e-05,0.0071308901435329745
Raul Castro,65,6.461640062604936e-05,0.00731413010259995
Salman,131,0.0010062056949789611,0.008997950534074475
Ronald Reagan,1348,0.007272718189316053,0.06997691872521355
Reagan,1410,0.008044707166143132,0.0715755720465327
Helmut Kohl,33,0.0,0.0053005175858071105
Glenn Kessler,160,5.690151097426745e-05,0.018210947318785614
Kessler,56,1.746299018907383e-05,0.0067954089204164255
Richard Nixon,655,0.0023374079880839425,0.0403918860383879
Zhou Enlai,33,0.0,0.0053005175858071105
Mao,39,1.5051254640999247e-05,0.005409995884765222
Nixon,493,0.001432937724176111,0.035110343766931416
Lauer,44,0.0001760577447475583,0.00536565939936262
Gadhafi,39,4.854531614034327e-07,0.006250273513320788
Rachel Maddow,100,0.000117889903340875,0.009694784625696982
Maddow,49,5.476274760996124e-05,0.006579202166324361
Olli Heinonen,10,2.190926471015093e-07,0.0007729113153839758
John Kerry,1025,0.012305821299661375,0.05071453960212911
Edward Kennedy,18,5.8237603339516145e-06,0.0033864147695729452
Frank-Walter Steinmeier,94,0.00029044500709850236,0.0069276987796851545
Mohammad Javad Zarif,87,0.00012528540150372961,0.005824092383955834
Bill Clinton,2375,0.01629570288173139,0.10496006299473025
Bill,879,0.0031386398597406362,0.052510696912198764
Chelsea Clinton,96,3.6040258616438195e-05,0.010733146371438946
Cigi Ross,8,0.0,0.0025275803643091655
Chelsea Clinton's,10,1.7747340639525308e-07,0.002539202881250677
Politico,1158,0.004725320711613632,0.0721314269765933
Alan Cobb,37,2.127162824647671e-06,0.00453577869631611
Joni Ernst,313,0.00026592663369503746,0.02633132075542751
Kelly Ayotte,567,0.0006169190857861141,0.04520854571241032
Ayotte,268,9.129003650019482e-05,0.025877604682881895
Ernst,45,0.0,0.00309154553450213
Maggie Hassan,302,0.0001331555215727535,0.027998352553215346
Angela Merkel,279,0.003363087850911422,0.013197165441201085
Jeanne Shaheen,98,1.7155683836234544e-05,0.00796198233977649
Nancy Pelosi,660,0.0025691334606634353,0.0375555903634264
Peter Kuhn,45,0.0,0.00309154553450213
Marie-Claire Villeval,45,0.0,0.00309154553450213
Stefano Gagliarducci,45,0.0,0.00309154553450213
M. Daniele Paserman,45,0.0,0.00309154553450213
Shaheen,66,7.467480916683993e-06,0.004826909035169154
Lisa Murkowski,160,0.0006116762485025795,0.013879909443072163
Maria Cantwell,54,1.0895599102397706e-05,0.004573409021041212
Mikulski,95,2.9496048097054714e-05,0.00627067054488853
Barbara Mikulski,138,9.119871170751626e-05,0.011114379171278553
Susan Collins,198,0.00021387331563754754,0.016366740795171884
John McCain,1513,0.008115193845817617,0.07751170955962611
Michele Swers,45,0.0,0.00309154553450213
Swers,45,0.0,0.00309154553450213
John Sununu,84,1.3365053962457749e-05,0.00799176710115166
Liz Shuler,45,0.0,0.00309154553450213
Shuler,45,0.0,0.00309154553450213
Alice H.,45,0.0,0.00309154553450213
Margaret Thatcher,104,0.00010438612592825265,0.006918839782986501
Golda Meir,45,0.0,0.00309154553450213
Tim Cook,108,0.00010380280182269263,0.00608939032084377
Hassan,141,0.00035773719190605285,0.008381395288834255
Sylvia Larsen,45,0.0,0.00309154553450213
Ask Ayotte,45,0.0,0.00309154553450213
Ruth Griffin,47,0.0,0.003102421639665019
Griffin,47,0.0,0.003102421639665019
Marilla Ricker,45,0.0,0.00309154553450213
Susan McLane,45,0.0,0.00309154553450213
McLane,45,0.0,0.00309154553450213
Ann McLane Kuster,45,0.0,0.00309154553450213
Sununu,109,4.715709724186905e-05,0.009579184451222352
Vesta Roy,45,0.0,0.00309154553450213
Debbie Walsh,45,0.0,0.00309154553450213
Walsh,91,3.936731564445374e-05,0.00901747865060563
Jennifer Horn,78,2.0064486866756112e-05,0.008545582348420054
Horn,45,0.0,0.00309154553450213
Barack Obama,2854,0.05740949052367338,0.10218658957722619
Bob Corker,170,0.00019022967438909896,0.016126143920379456
Ayatollah Ali Khamenei,86,8.794081838702056e-05,0.00447489783842801
Hassan Rouhani,107,0.00016595307841325358,0.005716152871863822
Corker,86,5.210220790496691e-05,0.009430498183946518
Bob Menendez,75,2.7658831058400392e-05,0.006523570878240232
Angus King,105,9.646828424656927e-05,0.010250788966783815
Chuck Schumer,260,0.0002812167429774842,0.02324469406378205
Harry Reid,877,0.001770478339665492,0.0627473129846669
Tim Kaine,935,0.001595336263326504,0.06631670071919166
Breitbart,498,0.0003665380917176758,0.0429260344858564
Pamela Geller,29,0.00013857237164667275,0.003971220869797939
Paul D. Ryan,270,0.0001263116305294236,0.026562401584086424
Islamophobia,16,0.0,0.003806405566788928
Jeb Bush,2208,0.015263518055782951,0.0959030566262093
Biden,940,0.0026781149226716735,0.06323242636827792
PolitiFact,60,0.00018064600515919904,0.0073841004525560605
Newt Gingrich,859,0.002188909498392061,0.055751107983886425
John Cornyn,269,0.00046859758978724043,0.024132160951219297
John Feehery,70,8.118434405400659e-05,0.009676740993850486
E.J. Dionne’s,28,4.8172298654269215e-05,0.005204977455882263
George W. Bush,15,0.0,0.005278787838286041
Bill Bratton,27,0.0004491923937942082,0.005419872559255326
Debi Rose,15,0.0,0.005278787838286041
Bill de Blasio,184,0.0005492758182671214,0.01878456325108492
McConnell,572,0.0012435518734741529,0.03934323900024491
Mitch McConnell,1414,0.008310810451282187,0.07442363237929166
Harry M. Reid,170,0.00017173691390014902,0.015331368907066366
D-Nev,240,0.0003822182924076974,0.02068348533779444
John A. Boehner,247,0.0004244749718504307,0.018215872920793838
Reid,571,0.0008717174840781475,0.042096225287694695
