,degree,betweenness,eigenvector
Donald Trump,15,0.011801242236024845,0.2629740699317783
Hillary Clinton,14,0.006564398334584669,0.23933244895339587
Ted Cruz,7,3.981525720656155e-05,0.17897309594093153
Bernie Sanders,4,0.0,0.11730287800945602
Clinton,73,0.7326115395991173,0.5396411017194012
Trump,17,0.020877983300343586,0.2827424498442827
Cruz,16,0.034759288330716884,0.25229399806681313
Hillary,8,0.001475439674197438,0.14466505551643447
Kasich,7,0.0,0.15761254856630183
John Kasich,2,0.0,0.07012705439011103
Obama,7,0.0,0.15635334780621502
Bush,21,0.08769367278684047,0.28464303308735295
George W. Bush,2,0.0,0.07299160437341534
Reagan,3,0.0,0.05242890970682765
Richard Nixon,1,0.0,0.04778629197582399
Bill Clinton,3,0.0,0.07759306062318752
Bill,1,0.0,0.04778629197582399
John McCain,1,0.0,0.04778629197582399
Jeb Bush,5,0.0,0.1436558969607181
Barack Obama,2,0.0,0.06897934783644033
McConnell,3,0.0,0.0008351121822483834
Joe Biden,1,0.0,0.04778629197582399
Elizabeth Warren,1,0.0,0.04778629197582399
Paul Ryan,2,0.0,0.055412012780749156
Ryan,6,0.07566889632107023,0.08611697149409278
Marco Rubio,6,0.0,0.15950403769619606
Romney,5,0.0,0.10755244725018208
Hillary Rodham Clinton,1,0.0,0.04778629197582399
Biden,1,0.0,0.04778629197582399
Warren,1,0.0,0.04778629197582399
Boehner,6,0.058050645007166744,0.008595636485588455
John Boehner,1,0.0,0.0007611618143841027
Sanders,1,0.0,0.04778629197582399
Hillary Clinton's,1,0.0,0.04778629197582399
Donald Trump's,1,0.0,0.04778629197582399
Mateen,2,0.0,2.6491368617845226e-17
Paul,5,0.019589106545628284,0.05261798586679543
Rand Paul,1,0.0,0.004659330162166567
Stevens,1,0.0,0.04778629197582399
Ben Carson,3,0.0,0.09533236678770239
Carson,5,0.0,0.0796347748079652
Jeb,1,0.0,0.02520531239759135
Chris Christie,2,0.0,0.07299160437341534
Johnson,3,0.0,0.05242890970682765
Wasserman Schultz,1,0.0,0.04778629197582399
Fiorina,4,0.0,0.050060101316119786
Bernie,1,0.0,0.04778629197582399
Clintons,6,7.96305144131231e-05,0.09727416996216005
Whitewater,1,0.0,0.04778629197582399
Monica Lewinsky,1,0.0,0.04778629197582399
Lewinsky,1,0.0,0.04778629197582399
Osama bin Laden,1,0.0,0.04778629197582399
Blackberry,1,0.0,0.04778629197582399
Scalia,2,0.0,2.6491368617845226e-17
Robby Mook,1,0.0,0.04778629197582399
Politico,1,0.0,0.04778629197582399
Kennedy,1,0.0,0.04778629197582399
Tim Kaine,1,0.0,0.04778629197582399
Kaine,1,0.0,0.04778629197582399
Netanyahu,2,0.0,2.6491368617845226e-17
John Podesta,1,0.0,0.04778629197582399
Comey,1,0.0,0.04778629197582399
Michelle Obama,1,0.0,0.04778629197582399
Mike Pence,1,0.0,0.04778629197582399
Al Gore,1,0.0,0.04778629197582399
Vladimir Putin,1,0.0,0.04778629197582399
Christopher Stevens,1,0.0,0.04778629197582399
Sidney Blumenthal,1,0.0,0.04778629197582399
Martin O'Malley,1,0.0,0.04778629197582399
Jim Webb,1,0.0,0.04778629197582399
Putin,2,0.0,2.6491368617845226e-17
Francis,2,0.0,2.6491368617845226e-17
McCarthy,1,0.0,0.0007611618143841027
Davis,2,0.0,2.6491368617845226e-17
Rodham,1,0.0,0.04778629197582399
BlackBerry,1,0.0,0.04778629197582399
Sullivan,1,0.0,0.04778629197582399
Pagliano,1,0.0,0.04778629197582399
Abedin,5,0.019589106545628284,0.06706060770810877
Powell,1,0.0,0.04778629197582399
Marco,1,0.0,0.02520531239759135
Gowdy,1,0.0,0.04778629197582399
Blumenthal,1,0.0,0.04778629197582399
Bannon,1,0.0,0.04778629197582399
Williams,1,0.0,0.04778629197582399
Gore,1,0.0,0.04778629197582399
Murphy,1,0.0,0.02520531239759135
Tai,2,0.0,2.6491368617845226e-17
Jordan,1,0.0,0.04778629197582399
Hillary Rodham,1,0.0,0.04778629197582399
Huma,1,0.0,0.0059382727658630965
Bergdahl,2,0.0,2.6491368617845226e-17
Buckley,2,0.0,2.6491368617845226e-17
